trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.3, 'e': 0.44043165450599925}",20,14,-28.374915538545455,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.3, 'e': 0.43604928632153556}",30,0,-69.51616867014873,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.3, 'e': 0.43171052342907973}",20,11,13.590046587080627,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.4274149319487267}",25,11,12.490918612721284,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.4231620823177488}",25,0,-86.92506936196611,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
87,False,"{'a': 0.3, 'e': 0.418951549247639}",20,8,-38.26517227098182,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.4147829116815814}",20,14,10.260604635116911,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.4106557527523455}",30,0,6.206811691165784,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.3, 'e': 0.4065696597405991}",35,0,-74.18570219229218,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.3, 'e': 0.40252422403363597}",25,0,-69.01838150705815,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
92,False,"{'a': 0.3, 'e': 0.39851904108451414}",20,14,9.882766225937626,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.3945537103716011}",20,0,-2.4692035942724284,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
94,False,"{'a': 0.3, 'e': 0.3906278353585211}",25,12,-25.47513679549749,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.3867410234545012}",25,0,-61.14102965194488,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
96,False,"{'a': 0.3, 'e': 0.38289288597511206}",30,0,-86.49787876095118,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
97,False,"{'a': 0.3, 'e': 0.37908303810339883}",25,6,-36.11270267635278,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.37531109885139957}",25,6,-103.41778311511572,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1
99,False,"{'a': 0.3, 'e': 0.3715766910220457}",25,16,15.86370312356852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.36787944117144233}",25,15,-29.53719472071018,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.3642189795715233}",25,9,-64.61076254646186,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
102,False,"{'a': 0.3, 'e': 0.3605949401730783}",20,0,-40.56196560533397,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.3, 'e': 0.3570069605691474}",25,0,0.13587782040140284,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.3, 'e': 0.35345468195878016}",25,9,14.864436110337746,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.3499377491111553}",20,16,6.940039623351677,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.3464558103300574}",20,0,-93.20793796701348,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
107,False,"{'a': 0.3, 'e': 0.34300851741870664}",20,1,-28.861179561955236,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.3395955256449391}",25,0,-88.7217197894254,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
109,False,"{'a': 0.3, 'e': 0.33621649370673334}",25,5,-29.46021419835033,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.33287108369807955}",25,0,-9.285239767158707,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.32955896107518906}",20,0,-118.01205799141276,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
112,False,"{'a': 0.3, 'e': 0.32627979462303947}",20,16,6.922947223952984,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.3, 'e': 0.3230332564222529}",25,8,-33.19178830553031,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.3, 'e': 0.31981902181630384}",20,5,10.981870026082277,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.31663676937905316}",25,0,-129.18954361999806,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
116,False,"{'a': 0.3, 'e': 0.3134861808826053}",25,0,-27.47444948032201,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.3, 'e': 0.31036694126548503}",20,1,-64.93871929187756,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
118,False,"{'a': 0.3, 'e': 0.30727873860113125}",30,0,8.312211909403075,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.3, 'e': 0.3042212640667041}",25,2,-3.5566932314947035,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.30119421191220214}",25,18,-30.523120398752063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.3, 'e': 0.2981972794298874}",20,0,-48.45955740682568,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
122,False,"{'a': 0.3, 'e': 0.2952301669240142}",25,12,-13.950233682972714,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.2922925776808594}",25,0,-89.12897531185126,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
124,False,"{'a': 0.3, 'e': 0.2893842179390506}",25,11,5.3481956714647705,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.2865047968601901}",20,0,-16.997664905827623,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.3, 'e': 0.2836540264997704}",25,9,-48.541617160666604,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.2808316217783798}",25,11,12.30689712139122,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.27803730045319414}",25,0,-22.780840784143535,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",1
129,False,"{'a': 0.3, 'e': 0.27527078308975234}",35,10,-22.159128834163745,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.3, 'e': 0.2725317930340126}",20,10,18.809486460992368,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.2698200563846868}",25,0,20.53910294605428,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.3, 'e': 0.26713530196585034}",25,9,9.099239355512525,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.26447726129982396}",30,10,-73.50322163712805,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
134,False,"{'a': 0.3, 'e': 0.261845668580326}",30,14,-34.241444137792584,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.3, 'e': 0.2592402606458915}",25,15,-16.937055614610646,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.2566607769535559}",25,2,12.571600130314279,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.25410695955280027}",20,13,10.800663089841294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.25157855305975646}",20,0,6.07421472714277,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
139,False,"{'a': 0.3, 'e': 0.24907530463166816}",30,16,16.73102845579339,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.24659696394160643}",25,7,30.731564788343075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
